time,open,high,low,close,tick_volume,spread,real_volume
1470063600,1348.32,1349.3,1346.77,1347.91,5803,0,0
1470067200,1347.97,1349.8,1346.4,1348.91,8321,0,0
1470070800,1348.92,1350.51,1347.21,1349.71,9808,0,0
1470074400,1349.71,1352.92,1349.12,1352.63,6139,0,0
1470078000,1352.72,1354.21,1351.76,1353.27,4081,0,0
1470081600,1353.26,1353.81,1351.54,1352.54,4224,0,0
1470085200,1352.56,1353.57,1352.3,1352.99,2167,0,0
1470088800,1352.98,1354.7,1352.92,1353.38,3914,0,0
1470092400,1353.45,1354.91,1351.37,1351.42,1744,0,0
1470099600,1353.33,1354.21,1353.03,1353.96,779,0,0
1470103200,1353.97,1353.97,1352.56,1352.78,1550,0,0
1470106800,1352.76,1353.47,1351.68,1352.52,3765,0,0
1470110400,1352.51,1353.19,1347.43,1348.19,5990,0,0
1470114000,1348.17,1348.95,1347.14,1348.65,3946,0,0
1470117600,1348.65,1349.74,1348.5,1349.4,1693,0,0
1470121200,1349.4,1350.25,1349.3,1349.43,2119,0,0
1470124800,1349.43,1351.84,1348.93,1351.84,3739,0,0
1470128400,1351.84,1353.88,1351.24,1353.6,6074,0,0
1470132000,1353.53,1359.45,1352.92,1358.72,12137,0,0
1470135600,1358.62,1360.94,1357.42,1359.19,8806,0,0
1470139200,1359.23,1360.3,1358.08,1360.02,5182,0,0
1470142800,1360.03,1360.44,1357.16,1357.33,4387,0,0
1470146400,1357.38,1358.92,1356.53,1358.89,3985,0,0
1470150000,1358.88,1364.58,1358.88,1364.39,9945,0,0
1470153600,1364.39,1364.81,1361.21,1363.57,10895,0,0
1470157200,1363.58,1366.97,1363.26,1365.85,8322,0,0
1470160800,1365.87,1367.29,1365.23,1366.62,5593,0,0
1470164400,1366.6,1366.63,1364.23,1364.78,4075,0,0
1470168000,1364.79,1366.6,1364.48,1365.18,3551,0,0
1470171600,1365.18,1365.92,1364.32,1364.79,2540,0,0
1470175200,1364.81,1365.82,1364.54,1364.54,2173,0,0
1470178800,1364.61,1364.88,1362.08,1362.08,1346,0,0
1470186000,1363.51,1363.64,1361.93,1362.13,1248,0,0
1470189600,1362.13,1363.71,1361.93,1363.09,1193,0,0
1470193200,1363.01,1365.57,1362.38,1364.36,3176,0,0
1470196800,1364.36,1366.36,1362.03,1363.04,4463,0,0
1470200400,1362.97,1363.46,1362.35,1362.45,2425,0,0
1470204000,1362.45,1364.48,1361.83,1364.28,3449,0,0
1470207600,1364.28,1365.27,1363.52,1363.87,3714,0,0
1470211200,1363.9,1364.52,1362.86,1362.92,3293,0,0
1470214800,1362.92,1365.55,1362.72,1363.75,6094,0,0
1470218400,1363.75,1365.24,1363.1,1364.5,5040,0,0
1470222000,1364.5,1365.77,1363.77,1363.86,4079,0,0
1470225600,1363.86,1364.66,1362.8,1363.72,3112,0,0
1470229200,1363.69,1365.02,1363.13,1364.19,2509,0,0
1470232800,1364.19,1365.67,1363.27,1365.17,2665,0,0
1470236400,1365.26,1366.45,1362.17,1363.29,7863,0,0
1470240000,1363.3,1363.39,1357.8,1359.36,9983,0,0
1470243600,1359.49,1359.65,1354.21,1357.69,11435,0,0
1470247200,1357.76,1358.24,1356.39,1357.11,4197,0,0
1470250800,1357.07,1357.68,1356.47,1357.5,2314,0,0
1470254400,1357.57,1358.94,1357.04,1357.06,3250,0,0
1470258000,1357.05,1358.47,1356.55,1358.08,2902,0,0
1470261600,1358.1,1358.99,1356.96,1357.99,3364,0,0
1470265200,1358.05,1358.46,1356.59,1356.59,978,0,0
1470272400,1358.22,1358.22,1357.28,1357.48,1208,0,0
1470276000,1357.48,1358.34,1356.14,1356.2,2192,0,0
1470279600,1356.2,1357.39,1354.6,1356.17,4363,0,0
1470283200,1356.17,1359.2,1354.68,1358.35,7289,0,0
1470286800,1358.34,1358.6,1352.9,1353.53,7512,0,0
1470290400,1353.52,1353.91,1351.7,1351.99,2617,0,0
1470294000,1351.99,1352.59,1349.89,1351.89,4493,0,0
1470297600,1351.89,1353.31,1350.44,1352.77,4491,0,0
1470301200,1352.73,1353.81,1349.62,1349.97,5063,0,0
1470304800,1349.97,1353.01,1349.14,1351.7,3386,0,0
1470308400,1351.74,1352.99,1350.89,1351.27,3770,0,0
1470312000,1351.18,1352.68,1350.82,1351.06,2274,0,0
1470315600,1351.07,1353.78,1350.76,1352.83,2214,0,0
1470319200,1352.93,1362.97,1352.65,1358.74,11652,0,0
1470322800,1358.74,1365.04,1358.63,1362.94,9501,0,0
1470326400,1362.93,1364.57,1360.79,1363.66,9692,0,0
1470330000,1363.73,1363.73,1361.44,1363.29,7509,0,0
1470333600,1363.29,1364.33,1362.6,1363.18,6787,0,0
1470337200,1363.19,1363.44,1361.85,1362.67,3335,0,0
1470340800,1362.67,1362.77,1360.48,1361.53,3674,0,0
1470344400,1361.53,1362.63,1360.56,1361.35,2440,0,0
1470348000,1361.34,1361.73,1359.9,1360.53,1800,0,0
1470351600,1360.41,1361.88,1358.54,1359.33,863,0,0
1470358800,1360.47,1361.22,1360.43,1360.92,470,0,0
1470362400,1361.02,1361.42,1359.26,1360.21,1982,0,0
1470366000,1360.31,1361.41,1359.0,1360.22,2853,0,0
1470369600,1360.26,1361.95,1360.07,1360.72,5454,0,0
1470373200,1360.72,1361.51,1360.18,1360.76,4592,0,0
1470376800,1360.76,1361.74,1360.39,1361.28,2791,0,0
1470380400,1361.35,1362.69,1361.26,1362.49,2498,0,0
1470384000,1362.42,1364.74,1362.33,1364.32,5014,0,0
1470387600,1364.42,1364.73,1363.14,1364.06,4045,0,0
1470391200,1364.05,1364.33,1363.05,1363.46,3857,0,0
1470394800,1363.47,1363.58,1361.08,1362.28,4412,0,0
1470398400,1362.24,1362.78,1361.7,1361.71,3593,0,0
1470402000,1361.7,1362.32,1360.57,1360.66,2319,0,0
1470405600,1360.66,1362.42,1360.31,1361.57,1858,0,0
1470409200,1361.59,1362.56,1340.99,1347.49,17502,0,0
1470412800,1347.49,1348.15,1339.83,1340.93,19163,0,0
1470416400,1340.95,1341.21,1336.88,1338.39,11958,0,0
1470420000,1338.33,1339.86,1337.62,1339.43,5477,0,0
1470423600,1339.42,1339.86,1337.93,1339.79,3440,0,0
1470427200,1339.83,1340.25,1337.4,1337.48,3717,0,0
1470430800,1337.47,1339.07,1336.95,1338.72,2054,0,0
1470434400,1338.77,1339.03,1334.52,1336.52,3284,0,0
1470438000,1336.53,1337.59,1335.88,1336.1,1136,0,0
1470618000,1332.72,1334.88,1331.6,1332.66,2618,0,0
1470621600,1332.69,1333.72,1331.36,1333.59,2988,0,0
1470625200,1333.59,1335.23,1332.8,1334.24,6618,0,0
1470628800,1334.17,1337.65,1334.09,1335.54,5798,0,0
1470632400,1335.5,1337.7,1335.17,1336.35,3493,0,0
1470636000,1336.46,1337.88,1333.38,1337.04,4936,0,0
1470639600,1337.0,1338.24,1336.79,1338.03,1707,0,0
1470643200,1338.0,1338.31,1336.31,1336.79,2483,0,0
1470646800,1336.87,1336.87,1332.65,1333.66,6869,0,0
1470650400,1333.75,1334.72,1330.89,1331.0,5063,0,0
1470654000,1330.9,1332.8,1330.6,1331.54,4895,0,0
1470657600,1331.53,1331.77,1329.96,1331.14,4511,0,0
1470661200,1331.1,1332.29,1330.5,1331.43,2929,0,0
1470664800,1331.38,1334.13,1331.04,1333.64,3725,0,0
1470668400,1333.63,1336.84,1333.24,1335.86,6144,0,0
1470672000,1335.77,1336.91,1333.47,1336.44,10113,0,0
1470675600,1336.44,1338.11,1335.32,1335.88,9814,0,0
1470679200,1335.89,1336.45,1334.57,1336.01,5614,0,0
1470682800,1335.99,1337.59,1335.36,1335.86,3405,0,0
1470686400,1335.88,1336.91,1335.18,1335.33,2516,0,0
1470690000,1335.34,1336.32,1334.8,1335.67,2618,0,0
1470693600,1335.68,1336.49,1335.19,1335.29,3112,0,0
1470697200,1335.27,1335.62,1333.45,1333.65,1560,0,0
1470704400,1334.42,1335.33,1334.42,1334.92,423,0,0
1470708000,1334.82,1336.72,1334.72,1336.05,1962,0,0
1470711600,1336.0,1337.2,1334.94,1335.65,2788,0,0
1470715200,1335.74,1336.45,1333.56,1334.0,3096,0,0
1470718800,1334.0,1335.03,1333.57,1334.72,1264,0,0
1470722400,1334.77,1335.19,1334.59,1335.09,1084,0,0
1470726000,1335.1,1335.22,1333.45,1333.81,3019,0,0
1470729600,1333.8,1334.32,1332.54,1332.58,2682,0,0
1470733200,1332.57,1332.69,1331.15,1331.74,6658,0,0
1470736800,1331.73,1332.65,1330.58,1331.87,5489,0,0
1470740400,1331.86,1334.72,1331.74,1334.53,3988,0,0
1470744000,1334.51,1334.61,1333.18,1333.81,2218,0,0
1470747600,1333.81,1334.13,1333.47,1333.66,2602,0,0
1470751200,1333.66,1334.25,1332.31,1332.73,2537,0,0
1470754800,1332.77,1334.04,1330.99,1333.45,6448,0,0
1470758400,1333.51,1340.79,1333.01,1339.66,9757,0,0
1470762000,1339.66,1342.65,1339.37,1341.29,11268,0,0
1470765600,1341.27,1342.08,1339.48,1339.69,4907,0,0
