time,open,high,low,close,tick_volume,spread,real_volume
893203200,310.3,314.4,310.0,313.5,561,0,0
893289600,312.6,315.2,311.9,314.3,491,0,0
893376000,313.4,314.2,311.8,312.9,431,0,0
893635200,312.25,313.65,308.9,309.9,716,0,0
893721600,309.39,310.9,306.3,308.2,802,0,0
893808000,307.65,311.4,307.0,310.5,596,0,0
893894400,310.79,312.1,305.5,306.9,932,0,0
893980800,306.25,307.2,301.1,302.5,846,0,0
894240000,302.45,306.0,302.0,304.6,586,0,0
894326400,303.65,305.25,302.5,303.6,546,0,0
894412800,303.6,304.3,299.4,301.0,721,0,0
894499200,300.45,301.5,296.6,298.75,811,0,0
894585600,297.2,301.8,297.2,300.1,631,0,0
894844800,299.55,301.6,297.7,300.6,676,0,0
894931200,299.8,300.6,296.9,298.2,581,0,0
895017600,297.8,300.1,295.2,298.7,891,0,0
895104000,297.8,298.8,295.1,298.8,641,0,0
895190400,298.6,303.9,298.6,301.5,771,0,0
895449600,301.0,302.2,298.5,299.8,621,0,0
895536000,299.15,300.7,298.1,299.0,506,0,0
895622400,297.85,301.4,297.0,299.9,676,0,0
895708800,299.1,300.9,298.7,300.9,261,0,0
895795200,301.0,301.7,299.2,300.1,411,0,0
896054400,298.85,299.5,298.8,299.5,76,0,0
896140800,299.3,300.1,294.7,295.8,731,0,0
896227200,294.75,296.5,290.4,293.35,1081,0,0
896313600,294.15,295.0,292.8,293.45,371,0,0
896400000,292.65,294.8,291.2,293.2,666,0,0
896659200,292.75,293.4,288.1,288.7,656,0,0
896745600,288.0,292.3,286.75,291.4,771,0,0
896832000,290.85,294.65,290.0,293.4,676,0,0
896918400,291.9,293.4,291.4,293.4,251,0,0
897004800,292.6,294.2,290.3,291.9,711,0,0
897264000,290.95,296.7,289.0,296.7,966,0,0
897350400,294.9,299.3,292.3,293.9,1301,0,0
897436800,292.8,295.6,288.65,293.5,1321,0,0
897523200,292.35,294.8,286.5,287.3,1156,0,0
897609600,286.5,289.4,284.5,286.25,956,0,0
897868800,285.25,287.1,283.7,285.1,666,0,0
897955200,284.25,289.0,283.95,288.9,546,0,0
898041600,288.85,294.4,287.4,293.7,916,0,0
898128000,295.7,296.0,290.9,293.5,801,0,0
898214400,293.0,300.5,292.0,299.0,1101,0,0
898473600,299.29,299.8,293.6,296.0,912,0,0
898560000,295.85,296.35,293.4,295.3,536,0,0
898646400,293.75,295.4,291.9,293.1,636,0,0
898732800,292.45,295.4,292.0,294.1,516,0,0
898819200,293.25,295.0,292.1,294.1,496,0,0
899078400,292.9,294.6,291.9,293.9,441,0,0
899164800,293.3,298.3,293.3,297.2,611,0,0
899251200,297.65,298.7,295.0,296.7,646,0,0
899337600,295.75,296.9,293.2,294.1,576,0,0
899424000,293.5,295.55,293.4,295.1,271,0,0
899683200,293.85,294.7,292.2,293.5,466,0,0
899769600,293.4,295.9,292.7,295.2,461,0,0
899856000,294.9,296.15,290.8,293.5,931,0,0
899942400,293.0,293.9,290.6,292.35,596,0,0
900028800,291.0,291.95,289.5,291.1,481,0,0
900288000,289.6,292.7,288.0,291.9,711,0,0
900374400,291.29,294.7,291.2,293.4,490,0,0
900460800,292.95,294.7,292.05,294.0,426,0,0
900547200,293.2,295.7,292.3,293.5,651,0,0
900633600,293.1,294.9,292.8,294.75,256,0,0
900892800,293.45,295.7,293.3,295.7,256,0,0
900979200,295.35,296.1,294.5,295.1,296,0,0
901065600,294.6,295.6,293.6,294.5,391,0,0
901152000,293.8,295.1,292.0,293.4,581,0,0
901238400,293.8,295.4,290.2,291.7,831,0,0
901497600,291.1,291.95,289.3,290.6,481,0,0
901584000,289.75,292.2,289.35,292.0,346,0,0
901670400,291.5,292.4,289.0,290.3,561,0,0
901756800,289.5,291.6,288.6,290.25,526,0,0
901843200,288.8,290.5,285.7,286.7,751,0,0
902102400,286.2,287.5,282.5,283.2,701,0,0
902188800,283.55,289.8,283.55,288.6,746,0,0
902275200,289.55,290.35,286.9,288.2,556,0,0
902361600,287.5,288.8,286.3,287.7,481,0,0
902448000,287.0,288.0,285.2,286.9,551,0,0
902707200,286.1,287.2,285.0,287.2,331,0,0
902793600,287.2,287.7,282.9,284.2,661,0,0
902880000,283.8,286.9,282.1,283.0,881,0,0
902966400,282.3,285.1,282.0,285.1,341,0,0
903052800,284.95,286.0,283.3,284.3,476,0,0
903312000,284.2,286.1,282.2,285.3,671,0,0
903398400,284.45,285.9,283.8,285.2,346,0,0
903484800,285.3,287.3,282.7,283.6,751,0,0
903571200,283.3,286.5,282.75,285.4,541,0,0
903657600,284.65,286.2,283.2,285.05,561,0,0
903916800,283.9,285.5,283.6,284.9,281,0,0
904003200,284.6,285.55,281.8,283.4,631,0,0
904089600,282.7,285.5,280.8,282.5,921,0,0
904176000,281.2,282.2,276.2,276.8,761,0,0
904262400,278.4,278.4,270.75,274.6,1151,0,0
904521600,273.9,277.4,273.8,275.8,531,0,0
904608000,277.1,280.0,276.85,279.1,431,0,0
904694400,278.4,281.6,278.4,280.5,431,0,0
904780800,279.8,286.9,278.1,285.2,1221,0,0
904867200,285.4,287.7,284.0,287.1,571,0,0
905126400,286.5,289.6,286.5,288.8,391,0,0
905212800,288.0,289.0,284.8,286.3,671,0,0
905299200,286.3,287.35,282.9,284.5,711,0,0
905385600,283.9,292.4,283.9,290.7,1021,0,0
905472000,291.25,297.3,289.8,294.0,1226,0,0
905731200,292.45,293.6,288.8,290.6,776,0,0
905817600,289.45,292.9,288.8,290.2,746,0,0
905904000,289.05,290.6,287.2,287.9,566,0,0
905990400,287.1,291.2,286.35,291.2,561,0,0
906076800,292.3,292.8,289.0,291.7,701,0,0
906336000,290.4,294.1,287.7,289.2,1161,0,0
906422400,288.3,290.1,287.4,287.9,501,0,0
906508800,287.25,289.5,287.05,289.5,266,0,0
906595200,289.75,295.1,289.55,294.1,676,0,0
906681600,294.05,300.3,293.5,294.4,1326,0,0
906940800,293.15,295.6,291.6,295.6,556,0,0
907027200,296.35,297.9,293.2,294.9,796,0,0
907113600,295.1,298.0,293.2,297.2,751,0,0
907200000,296.2,301.7,294.8,300.55,946,0,0
907286400,299.85,303.8,299.0,300.8,866,0,0
907545600,300.1,301.15,295.6,296.9,791,0,0
907632000,295.45,298.1,293.8,296.5,756,0,0
907718400,296.85,300.75,296.8,300.75,401,0,0
907804800,301.85,305.2,299.1,299.9,1026,0,0
907891200,300.3,302.5,296.0,297.0,971,0,0
908150400,296.75,299.7,294.5,296.5,1016,0,0
908236800,295.5,297.6,295.1,296.8,371,0,0
908323200,296.35,297.5,294.4,296.3,616,0,0
908409600,295.65,298.7,295.65,298.7,306,0,0
908496000,299.9,301.3,297.2,300.2,791,0,0
908755200,299.8,300.3,295.9,296.4,541,0,0
908841600,295.75,297.25,294.5,296.5,476,0,0
908928000,295.9,297.6,294.4,295.5,601,0,0
909014400,294.7,295.5,291.2,292.5,641,0,0
909100800,292.7,294.0,291.6,293.1,441,0,0
909360000,291.85,292.2,290.6,292.2,286,0,0
909446400,291.9,294.0,291.9,294.0,211,0,0
909532800,292.6,294.95,292.5,293.3,421,0,0
909619200,292.9,295.0,292.55,293.9,391,0,0
909705600,293.4,295.0,291.7,292.8,601,0,0
909964800,292.6,293.8,289.6,290.2,601,0,0
910051200,289.95,290.85,287.6,289.2,576,0,0
910137600,289.4,291.9,288.8,291.2,441,0,0
910224000,290.35,294.9,290.3,294.3,526,0,0
910310400,293.0,295.1,292.0,293.4,581,0,0
910569600,292.4,294.1,289.5,292.9,871,0,0
910656000,292.29,294.5,291.4,293.9,460,0,0
910742400,293.1,294.9,292.3,293.3,501,0,0
910828800,293.1,297.9,292.6,297.1,661,0,0
910915200,296.45,298.0,294.9,296.2,596,0,0
911174400,295.5,296.2,294.2,295.2,371,0,0
911260800,294.55,295.55,293.25,294.4,446,0,0
911347200,294.0,298.5,293.8,297.7,571,0,0
911433600,297.3,298.65,295.0,295.9,591,0,0
911520000,296.05,297.5,294.9,296.4,486,0,0
911779200,295.9,297.0,294.9,296.25,386,0,0
911865600,296.25,297.4,295.3,296.5,396,0,0
911952000,296.0,297.7,295.1,296.95,426,0,0
912038400,295.8,296.4,295.4,296.4,141,0,0
912124800,295.75,297.4,295.05,296.55,391,0,0
912384000,295.8,296.8,292.85,293.6,571,0,0
912470400,292.29,294.9,292.29,294.0,352,0,0
912556800,293.7,295.1,292.6,293.3,461,0,0
912643200,292.95,294.6,291.2,292.1,596,0,0
912729600,291.9,293.7,291.5,292.7,361,0,0
912988800,291.8,297.6,291.8,295.3,811,0,0
913075200,294.8,295.8,292.9,293.85,486,0,0
913161600,293.85,295.4,293.0,293.9,476,0,0
913248000,293.8,296.0,293.6,294.5,411,0,0
913334400,294.9,296.1,289.3,291.1,981,0,0
913593600,291.45,292.6,289.9,291.6,526,0,0
