time,open,high,low,close,tick_volume,spread,real_volume
1656928800,1810.8,1812.35,1810.8,1811.99,1037,2,0
1656929700,1811.95,1811.95,1809.68,1810.16,1008,0,0
1656930600,1810.14,1810.2,1808.26,1808.36,833,6,0
1656931500,1808.34,1809.05,1808.26,1808.84,636,0,0
1656932400,1808.83,1808.84,1807.76,1808.1,715,0,0
1656933300,1808.15,1809.22,1807.87,1808.3,667,0,0
1656934200,1808.3,1809.13,1806.42,1806.52,897,0,0
1656935100,1806.52,1807.59,1806.52,1807.36,647,0,0
1656936000,1807.34,1807.86,1806.88,1806.99,631,0,0
1656936900,1807.01,1808.56,1806.94,1808.42,499,2,0
1656937800,1808.48,1808.72,1805.5,1805.66,1175,0,0
1656938700,1805.6,1806.53,1805.2,1805.81,710,0,0
1656939600,1805.81,1805.81,1803.97,1804.94,745,1,0
1656940500,1804.97,1806.02,1804.97,1805.4,683,0,0
1656941400,1805.41,1806.84,1805.27,1805.4,654,4,0
1656942300,1805.4,1805.78,1804.04,1804.04,865,0,0
1656943200,1804.12,1806.63,1804.11,1806.34,706,4,0
1656944100,1806.36,1807.9,1805.9,1807.12,749,2,0
1656945000,1807.16,1807.25,1805.76,1806.1,649,6,0
1656945900,1806.09,1806.8,1805.17,1805.28,602,1,0
1656946800,1805.34,1808.16,1805.16,1807.8,886,3,0
1656947700,1807.8,1808.93,1805.78,1808.23,960,2,0
1656948600,1808.24,1809.6,1807.32,1809.6,698,6,0
1656949500,1809.58,1809.58,1807.68,1807.68,739,8,0
1656950400,1807.7,1809.29,1807.24,1809.02,1041,8,0
1656951300,1809.04,1809.13,1807.99,1808.44,754,6,0
1656952200,1808.46,1809.28,1808.23,1808.69,634,0,0
1656953100,1808.5,1809.25,1808.02,1808.81,602,0,0
1656954000,1808.93,1809.46,1808.12,1808.65,896,0,0
1656954900,1808.59,1809.96,1808.16,1809.38,884,2,0
1656955800,1809.4,1810.26,1809.15,1810.24,1067,4,0
1656956700,1810.24,1811.0,1809.32,1809.91,1013,0,0
1656957600,1809.9,1809.95,1807.56,1807.71,793,0,0
1656958500,1807.73,1808.83,1806.7,1807.33,658,3,0
1656959400,1807.3,1807.3,1805.95,1806.86,481,9,0
1656960300,1806.8,1806.88,1805.61,1806.52,496,0,0
1656961200,1806.52,1806.58,1805.56,1805.61,415,8,0
1656962100,1805.61,1806.32,1805.49,1805.77,369,11,0
1656963000,1805.74,1807.06,1805.62,1807.02,405,7,0
1656963900,1807.02,1807.12,1806.44,1806.74,309,10,0
1656964800,1806.78,1807.2,1806.38,1807.14,178,11,0
1656965700,1807.16,1807.38,1806.82,1807.14,116,7,0
1656966600,1807.08,1807.26,1806.88,1806.99,128,1,0
1656967500,1806.99,1807.04,1806.54,1806.72,236,7,0
1656968400,1806.72,1808.1,1806.68,1807.52,208,9,0
1656969300,1807.53,1808.21,1807.24,1807.96,233,0,0
1656982800,1807.82,1808.5,1807.38,1808.28,279,12,0
1656983700,1808.3,1808.77,1808.09,1808.7,175,12,0
1656984600,1808.68,1808.72,1808.14,1808.24,146,12,0
1656985500,1808.32,1809.32,1808.29,1809.22,189,12,0
1656986400,1809.26,1809.64,1809.04,1809.54,363,12,0
1656987300,1809.57,1809.8,1808.77,1808.86,304,12,0
1656988200,1808.96,1809.0,1808.47,1808.56,271,12,0
1656989100,1808.58,1809.7,1808.26,1809.17,485,11,0
1656990000,1809.24,1809.34,1807.06,1807.92,647,1,0
1656990900,1807.92,1808.24,1806.94,1807.24,649,9,0
1656991800,1807.23,1807.38,1806.56,1807.16,580,0,0
1656992700,1807.14,1808.08,1807.08,1807.58,719,7,0
1656993600,1807.65,1810.33,1807.51,1809.38,1080,0,0
1656994500,1809.39,1810.34,1808.46,1808.81,938,8,0
1656995400,1808.78,1811.22,1808.72,1810.98,1062,2,0
1656996300,1811.0,1812.16,1810.88,1811.78,934,3,0
1656997200,1811.76,1812.16,1810.74,1811.21,607,2,0
1656998100,1811.14,1811.25,1810.11,1810.43,480,6,0
1656999000,1810.4,1811.24,1810.02,1810.98,608,0,0
1656999900,1810.98,1811.1,1809.0,1809.64,727,6,0
1657000800,1809.62,1810.42,1809.45,1810.29,558,1,0
1657001700,1810.3,1811.26,1810.12,1810.87,557,1,0
1657002600,1810.86,1811.44,1810.59,1810.88,564,1,0
1657003500,1810.87,1811.28,1810.2,1810.9,456,6,0
1657004400,1810.88,1811.3,1810.36,1810.93,519,10,0
1657005300,1810.92,1811.68,1810.77,1811.58,551,8,0
1657006200,1811.55,1811.7,1810.62,1811.48,727,11,0
1657007100,1811.46,1812.06,1810.68,1811.49,596,7,0
1657008000,1811.41,1811.8,1810.64,1810.7,595,1,0
1657008900,1810.72,1811.66,1810.62,1811.58,441,9,0
1657009800,1811.54,1811.6,1810.23,1810.68,929,7,0
1657010700,1810.73,1811.98,1810.56,1811.8,672,4,0
1657011600,1811.78,1811.86,1810.26,1810.74,796,0,0
1657012500,1810.86,1811.02,1808.92,1809.02,877,3,0
1657013400,1809.02,1809.67,1808.51,1809.48,1101,0,0
1657014300,1809.5,1809.79,1808.14,1809.18,986,0,0
1657015200,1809.14,1809.84,1807.26,1807.92,1131,0,0
1657016100,1807.93,1808.2,1805.64,1806.82,1075,0,0
1657017000,1806.92,1807.74,1806.18,1806.44,1024,0,0
1657017900,1806.44,1807.49,1806.08,1806.15,884,0,0
1657018800,1806.16,1806.16,1802.38,1803.42,1252,0,0
1657019700,1803.36,1804.04,1802.48,1802.77,1233,0,0
1657020600,1802.73,1803.61,1802.24,1803.24,1117,0,0
1657021500,1803.26,1803.45,1800.67,1801.07,1400,0,0
1657022400,1801.06,1803.36,1800.37,1803.14,1230,0,0
1657023300,1803.11,1805.33,1802.75,1804.04,1065,0,0
1657024200,1804.08,1805.11,1803.04,1803.81,996,0,0
1657025100,1803.82,1803.84,1802.12,1803.5,1070,0,0
1657026000,1803.52,1803.52,1801.82,1802.53,849,0,0
1657026900,1802.58,1803.77,1801.84,1803.22,759,0,0
1657027800,1803.14,1803.37,1801.39,1802.02,622,0,0
1657028700,1802.02,1802.25,1800.78,1801.26,731,0,0
1657029600,1801.28,1802.74,1800.6,1801.0,846,0,0
1657030500,1801.0,1801.28,1798.46,1798.65,1117,0,0
1657031400,1798.66,1799.99,1798.12,1798.34,955,0,0
1657032300,1798.5,1799.52,1797.48,1798.16,1110,0,0
1657033200,1798.16,1800.12,1796.37,1799.62,1387,0,0
1657034100,1799.6,1804.54,1798.28,1800.54,1983,0,0
1657035000,1800.56,1804.69,1799.14,1800.4,2049,0,0
1657035900,1800.44,1801.2,1798.46,1800.4,1543,3,0
1657036800,1800.42,1800.42,1793.76,1794.34,2054,0,0
1657037700,1794.32,1796.34,1793.36,1793.8,1847,0,0
1657038600,1793.79,1795.22,1788.84,1789.24,2396,0,0
1657039500,1789.26,1790.73,1785.47,1786.27,2279,0,0
1657040400,1786.28,1786.28,1766.4,1774.4,3045,0,0
1657041300,1774.41,1775.54,1771.28,1772.26,1879,0,0
1657042200,1772.32,1775.94,1770.82,1773.35,1701,0,0
1657043100,1773.47,1773.66,1767.56,1767.66,1866,0,0
1657044000,1767.6,1769.82,1766.84,1767.7,1733,0,0
1657044900,1767.72,1768.32,1765.58,1766.14,1401,0,0
1657045800,1766.14,1767.6,1765.04,1766.4,1661,0,0
1657046700,1766.42,1770.06,1766.22,1769.0,1470,0,0
1657047600,1769.01,1771.3,1767.81,1768.29,1257,0,0
1657048500,1768.22,1770.45,1767.04,1770.0,1124,0,0
1657049400,1770.0,1770.19,1766.45,1766.52,951,0,0
1657050300,1766.55,1767.56,1765.82,1767.38,973,0,0
1657051200,1767.38,1767.56,1765.36,1765.64,1036,0,0
1657052100,1765.68,1767.3,1763.88,1764.37,1234,0,0
1657053000,1764.4,1765.62,1764.21,1765.56,1006,2,0
1657053900,1765.56,1766.82,1764.94,1765.06,907,4,0
1657054800,1765.13,1767.05,1764.85,1766.66,858,4,0
1657055700,1766.48,1768.21,1766.32,1768.1,954,0,0
1657056600,1768.1,1769.06,1768.04,1768.7,927,1,0
1657057500,1768.62,1768.76,1766.01,1766.07,812,1,0
1657058400,1766.07,1768.05,1765.58,1767.5,912,0,0
1657059300,1767.48,1768.13,1767.22,1767.46,797,2,0
1657060200,1767.47,1767.78,1765.96,1767.57,780,4,0
1657061100,1767.56,1767.67,1766.22,1767.04,862,2,0
1657062000,1767.02,1768.18,1766.94,1767.1,532,1,0
1657062900,1767.08,1767.57,1765.4,1765.52,328,2,0
1657063800,1765.53,1766.34,1765.4,1765.89,287,12,0
1657064700,1765.91,1766.21,1764.52,1764.58,304,0,0
1657069200,1766.12,1767.9,1765.94,1767.63,269,12,0
1657070100,1767.72,1768.15,1767.11,1768.14,216,12,0
1657071000,1768.15,1768.68,1768.06,1768.24,199,12,0
1657071900,1768.22,1768.53,1768.09,1768.17,176,12,0
1657072800,1768.18,1769.06,1768.04,1768.94,248,12,0
1657073700,1768.96,1769.07,1767.85,1768.28,318,12,0
1657074600,1768.18,1769.34,1767.94,1769.22,355,12,0
1657075500,1769.24,1770.04,1768.79,1769.54,373,12,0
1657076400,1769.49,1770.74,1768.78,1769.8,730,8,0
1657077300,1769.82,1769.96,1768.7,1769.0,700,11,0
1657078200,1769.02,1769.99,1768.79,1769.94,564,11,0
1657079100,1769.92,1771.24,1769.64,1771.18,646,1,0
1657080000,1771.16,1772.86,1770.9,1771.72,1117,0,0
1657080900,1771.65,1772.34,1768.86,1768.93,1039,5,0
1657081800,1768.94,1771.3,1768.94,1770.86,1252,4,0
1657082700,1770.87,1771.19,1768.34,1768.51,1245,3,0
1657083600,1768.51,1771.2,1768.42,1771.12,1177,9,0
1657084500,1771.16,1771.6,1770.64,1771.38,589,5,0
1657085400,1771.41,1772.22,1769.66,1770.0,997,7,0
1657086300,1769.98,1771.38,1769.84,1770.79,863,4,0
1657087200,1770.81,1772.5,1770.55,1770.98,826,0,0
1657088100,1770.95,1771.4,1769.98,1770.32,814,1,0
1657089000,1770.4,1770.94,1769.86,1770.6,469,0,0
1657089900,1770.59,1770.88,1769.22,1769.24,606,4,0
1657090800,1769.21,1769.71,1767.83,1768.72,680,6,0
1657091700,1768.74,1769.04,1767.78,1768.07,525,5,0
1657092600,1768.06,1768.16,1766.81,1767.5,615,2,0
1657093500,1767.44,1767.5,1765.95,1766.59,627,6,0
1657094400,1766.58,1767.76,1766.16,1767.34,605,5,0
1657095300,1767.35,1768.03,1765.86,1766.41,705,9,0
1657096200,1766.42,1766.98,1763.44,1764.71,1511,0,0
1657097100,1764.68,1766.34,1763.11,1763.38,1094,2,0
1657098000,1763.34,1767.14,1763.26,1766.92,1282,0,0
1657098900,1766.98,1767.78,1765.76,1766.32,1119,8,0
1657099800,1766.31,1768.33,1765.72,1768.12,1281,8,0
1657100700,1768.22,1769.87,1767.59,1769.26,1450,0,0
1657101600,1769.24,1769.54,1766.64,1768.64,1362,3,0
1657102500,1768.62,1770.22,1767.96,1769.7,1145,3,0
1657103400,1769.68,1770.26,1767.8,1768.84,937,5,0
1657104300,1768.84,1769.94,1767.33,1767.84,1028,0,0
1657105200,1767.84,1771.82,1767.44,1770.68,1139,0,0
1657106100,1770.68,1770.94,1769.18,1769.36,938,0,0
1657107000,1769.31,1770.52,1765.04,1765.74,1232,0,0
