time,open,high,low,close,tick_volume,spread,real_volume
1786457700,4387.06,4390.27,4381.61,4383.99,11050.0,,
1786458600,4384.09,4395.32,4384.09,4393.48,10727.0,,
1786459500,4393.48,4398.01,4391.84,4394.18,7652.0,,
1786460400,4394.18,4398.85,4389.26,4392.26,8123.0,,
1786461300,4392.26,4392.26,4381.99,4386.73,9301.0,,
1786462200,4386.76,4387.05,4369.11,4375.94,13396.0,,
1786463100,4375.94,4383.86,4375.02,4383.77,8605.0,,
1786464000,4383.84,4384.83,4378.72,4379.52,7129.0,,
1786464900,4379.52,4383.42,4378.49,4383.02,5615.0,,
1786465800,4383.02,4385.82,4379.3,4384.79,4041.0,,
1786466700,4384.79,4385.51,4381.09,4383.45,4938.0,,
1786467600,4383.43,4385.72,4381.09,4381.09,5658.0,,
1786468500,4381.09,4384.38,4378.94,4381.44,5453.0,,
1786469400,4381.45,4381.98,4374.37,4376.31,5050.0,,
1786470300,4376.31,4377.59,4368.99,4369.15,4049.0,,
1786471200,4369.16,4369.21,4360.32,4363.84,10139.0,,
1786472100,4363.76,4367.3,4360.42,4361.33,9140.0,,
1786473000,4361.38,4371.86,4361.19,4371.16,6343.0,,
1786473900,4371.16,4372.78,4370.1,4371.62,4524.0,,
1786474800,4371.65,4372.25,4363.39,4363.83,6178.0,,
1786475700,4363.83,4370.94,4361.28,4370.46,6245.0,,
1786476600,4370.48,4374.24,4366.5,4367.65,6347.0,,
1786477500,4367.68,4373.41,4366.36,4370.81,7433.0,,
1786478400,4370.79,4371.15,4368.58,4370.4,2314.0,,
1786479300,4370.4,4371.04,4367.67,4370.32,1510.0,,
1786480200,4370.32,4370.54,4367.41,4367.56,1243.0,,
1786481100,4367.54,4368.72,4367.03,4368.01,931.0,,
1786485600,4371.77,4375.55,4370.34,4374.07,2548.0,,
1786486500,4374.07,4377.19,4373.4,4376.69,2892.0,,
1786487400,4376.69,4378.18,4375.02,4376.37,2573.0,,
1786488300,4376.45,4378.53,4367.31,4369.09,4074.0,,
1786489200,4369.21,4369.87,4362.58,4366.66,4369.0,,
1786490100,4366.66,4374.62,4365.33,4372.84,3420.0,,
1786491000,4372.84,4372.9,4366.65,4367.93,1851.0,,
1786491900,4367.93,4371.97,4367.93,4371.58,1879.0,,
1786492800,4371.58,4379.45,4366.49,4378.13,5372.0,,
1786493700,4378.13,4381.18,4374.19,4380.76,4858.0,,
1786494600,4380.76,4383.71,4379.35,4382.88,3736.0,,
1786495500,4382.88,4383.18,4377.66,4380.55,3230.0,,
1786496400,4380.66,4390.78,4378.36,4390.45,9108.0,,
1786497300,4390.45,4394.19,4386.71,4390.61,5529.0,,
1786498200,4390.61,4393.29,4385.32,4393.25,6667.0,,
1786499100,4393.25,4397.51,4391.21,4396.57,6306.0,,
1786500000,4396.57,4404.82,4394.28,4401.8,5423.0,,
1786500900,4401.79,4403.71,4399.46,4402.25,3482.0,,
1786501800,4402.24,4408.25,4397.69,4405.58,7274.0,,
1786502700,4405.58,4414.58,4405.38,4411.32,6498.0,,
1786503600,4411.32,4416.01,4408.64,4410.84,6779.0,,
1786504500,4410.84,4410.87,4404.44,4407.29,5628.0,,
1786505400,4407.29,4408.68,4401.37,4401.41,3766.0,,
1786506300,4401.41,4403.8,4400.81,4402.29,2870.0,,
1786507200,4402.29,4403.21,4396.57,4397.44,2757.0,,
1786508100,4397.44,4399.33,4395.41,4399.08,2780.0,,
1786509000,4399.08,4400.09,4395.34,4400.04,3020.0,,
1786509900,4400.04,4402.32,4399.24,4401.04,2369.0,,
1786510800,4401.04,4404.9,4400.11,4400.83,2372.0,,
1786511700,4400.83,4400.85,4392.33,4392.65,3430.0,,
1786512600,4392.65,4397.03,4388.01,4388.07,6534.0,,
1786513500,4388.07,4394.1,4384.03,4391.17,5057.0,,
1786514400,4391.17,4393.14,4385.27,4387.14,5284.0,,
1786515300,4387.14,4390.53,4385.76,4389.75,4187.0,,
1786516200,4389.76,4397.45,4388.45,4394.59,6019.0,,
1786517100,4394.59,4406.35,4394.58,4403.5,5203.0,,
1786518000,4403.51,4406.13,4400.95,4401.56,3877.0,,
1786518900,4401.56,4402.75,4398.23,4402.43,3250.0,,
1786519800,4402.43,4408.58,4401.45,4407.88,2750.0,,
1786520700,4407.88,4410.06,4404.79,4406.25,2866.0,,
1786521600,4406.25,4410.56,4405.87,4408.62,3102.0,,
1786522500,4408.62,4409.46,4405.63,4407.04,2730.0,,
1786523400,4407.0,4407.55,4404.49,4406.1,2799.0,,
1786524300,4406.1,4406.1,4401.76,4401.87,2089.0,,
1786525200,4401.87,4413.16,4401.87,4412.87,3301.0,,
1786526100,4412.87,4424.32,4412.44,4413.28,8738.0,,
1786527000,4413.28,4417.1,4411.94,4413.73,4905.0,,
1786527900,4413.73,4416.56,4410.74,4415.87,4782.0,,
1786528800,4415.87,4419.33,4414.64,4417.96,3331.0,,
1786529700,4417.96,4420.93,4417.46,4419.63,3454.0,,
1786530600,4419.63,4419.84,4412.76,4414.76,3250.0,,
1786531500,4414.76,4415.7,4407.41,4412.73,5491.0,,
1786532400,4412.73,4415.23,4407.92,4407.92,3445.0,,
1786533300,4407.92,4416.79,4407.9,4415.1,3017.0,,
1786534200,4415.1,4415.91,4410.24,4413.35,2490.0,,
1786535100,4413.35,4415.47,4412.57,4412.81,2320.0,,
1786536000,4412.81,4413.15,4406.32,4408.77,4382.0,,
1786536900,4408.77,4427.6,4404.76,4427.56,7366.0,,
1786537800,4427.56,4438.26,4382.14,4428.6,31220.0,,
1786538700,4428.6,4438.4,4416.57,4437.41,16863.0,,
1786539600,4437.32,4441.44,4420.95,4422.01,20546.0,,
1786540500,4422.0,4428.99,4414.68,4418.52,13308.0,,
1786541400,4418.53,4420.93,4408.55,4416.67,27205.0,,
1786542300,4416.65,4434.11,4415.55,4427.7,23041.0,,
1786543200,4427.69,4434.95,4421.07,4431.97,18247.0,,
1786544100,4431.97,4439.73,4429.95,4431.61,14508.0,,
1786545000,4431.61,4436.16,4416.38,4425.06,19286.0,,
1786545900,4425.09,4432.49,4416.63,4422.02,22289.0,,
1786546800,4422.04,4430.1,4414.92,4426.6,17826.0,,
1786547700,4426.63,4428.13,4419.61,4421.63,11521.0,,
1786548600,4421.6,4425.42,4416.79,4418.15,9403.0,,
1786549500,4418.15,4422.44,4411.11,4421.03,9868.0,,
1786550400,4421.03,4425.76,4416.76,4423.41,9757.0,,
1786551300,4423.41,4426.52,4422.45,4423.26,8243.0,,
1786552200,4423.22,4423.94,4409.38,4410.91,11546.0,,
1786553100,4410.91,4411.25,4396.71,4401.71,14886.0,,
1786554000,4401.71,4407.6,4400.06,4403.68,10180.0,,
1786554900,4403.67,4409.9,4401.98,4406.56,10969.0,,
1786555800,4406.57,4411.53,4401.37,4402.04,7937.0,,
